roll_year,roll_number,address,assessed_value,assessment_class,assessment_class_description,re_assessed_value,comm_code,comm_name,multipolygon,land_use_designation,property_type,land_size_sm,land_size_sf,land_size_ac,nr_assessed_value,year_of_construction,sub_property_use
2022,2004505,3420 80 AV NE,963500.0,RE,Residential,963500.0,CIA,CALGARY INTERNATIONAL AIRPORT,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.9845515, 51.1252973], [-113.9845517, 51.1261217], [-113.9873154, 51.1261164], [-113.9873154, 51.1252919], [-113.9845515, 51.1252973]]]]}",S-FUD,LO,17742.6,190986.0,4.38,,,
2022,3000502,9220R 36 ST NE,384000.0,NR,Non-residential,,SRI,SADDLE RIDGE INDUSTRIAL,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.9772801, 51.1360132], [-113.9785863, 51.1360142], [-113.9785872, 51.1356471], [-113.9785881, 51.1351897], [-113.9772817, 51.1351886], [-113.9772808, 51.1356461], [-113.9772801, 51.1360132]]]]}",S-SPR,LO,8386.0,90269.0,2.07,384000.0,,
2022,3001401,4515 88 AV NE,597500.0,RE,Residential,597500.0,SAD,SADDLE RIDGE,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.9698947, 51.1306982], [-113.9696428, 51.130698], [-113.9695568, 51.1306951], [-113.9695556, 51.1306979], [-113.9689074, 51.1306957], [-113.9685697, 51.1306948], [-113.9685697, 51.1307497], [-113.9685697, 51.1311992], [-113.9685696, 51.1312208], [-113.9685694, 51.1315291], [-113.9685694, 51.1315453], [-113.9685694, 51.1315506], [-113.9685691, 51.1318696], [-113.9685691, 51.1318912], [-113.968569, 51.1320352], [-113.968569, 51.1320568], [-113.9685687, 51.132334], [-113.9685687, 51.1323503], [-113.9685687, 51.1324364], [-113.9695554, 51.1324368], [-113.9696426, 51.1324369], [-113.9698925, 51.132437], [-113.9698947, 51.1306982]]]]}",S-FUD,LI,17934.6,193053.0,4.43,,1972.0,RAWDL
2022,200414878,102 417 3 AV NE,262500.0,RE,Residential,262500.0,CRE,CRESCENT HEIGHTS,"{'type': 'MultiPolygon', 'coordinates': [[[[-114.0530129, 51.0551744], [-114.0535529, 51.055177], [-114.0535546, 51.0548465], [-114.0530135, 51.0548453], [-114.0530129, 51.0551744]]]]}",M-C2,LI,1380.0,14855.0,0.34,,2003.0,
2022,3002003,5111 88 AV NE,565000.0,RE,Residential,565000.0,SAD,SADDLE RIDGE,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.9613031, 51.1311861], [-113.9613036, 51.1307406], [-113.9613036, 51.1307352], [-113.9613036, 51.1307268], [-113.9613037, 51.1306858], [-113.960577, 51.1306849], [-113.95985, 51.130684], [-113.95985, 51.1307251], [-113.95985, 51.1307388], [-113.9598479, 51.1324231], [-113.9613015, 51.132425], [-113.9613016, 51.132402], [-113.9613022, 51.1318889], [-113.9613028, 51.1313964], [-113.9613028, 51.1313748], [-113.9613031, 51.1311861]]]]}",S-FUD,LI,19684.6,211890.0,4.86,,1960.0,RAWDL
2022,200414886,201 417 3 AV NE,244000.0,RE,Residential,244000.0,CRE,CRESCENT HEIGHTS,"{'type': 'MultiPolygon', 'coordinates': [[[[-114.0530129, 51.0551744], [-114.0535529, 51.055177], [-114.0535546, 51.0548465], [-114.0530135, 51.0548453], [-114.0530129, 51.0551744]]]]}",M-C2,LI,1380.0,14855.0,0.34,,2003.0,
2022,3002102,8825 52 ST NE,710500.0,RE,Residential,710500.0,SAD,SADDLE RIDGE,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.95985, 51.130684], [-113.9585403, 51.1306824], [-113.958538, 51.1324212], [-113.9598479, 51.1324231], [-113.95985, 51.1307388], [-113.95985, 51.1307251], [-113.95985, 51.130684]]]]}",DC,LI,17740.4,190962.0,4.38,,2003.0,RAWDL
2023,53020301,4723 MEMORIAL DR SE,369000.0,RE,Residential,369000.0,FHT,FOREST HEIGHTS,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.965537, 51.0524128], [-113.9655379, 51.0527142], [-113.9657726, 51.0527139], [-113.9657716, 51.0524126], [-113.965537, 51.0524128]]]]}",R-C1,LI,551.4,5935.0,0.14,,1968.0,RE0110
2022,200414944,2 316 CEDAR CR SW,177000.0,RE,Residential,177000.0,SPR,SPRUCE CLIFF,"{'type': 'MultiPolygon', 'coordinates': [[[[-114.1333843, 51.0508899], [-114.1338792, 51.0510607], [-114.1343756, 51.0507497], [-114.1342641, 51.0507038], [-114.1341554, 51.0506553], [-114.1340496, 51.0506043], [-114.1333843, 51.0508899]]]]}",M-C1,LI,1666.0,17933.0,0.41,,1965.0,
2022,3002201,8607 52 ST NE,456500.0,RE,Residential,456500.0,SAD,SADDLE RIDGE,"{'type': 'MultiPolygon', 'coordinates': [[[[-113.9598478, 51.1289459], [-113.9585378, 51.1289449], [-113.9585366, 51.1306841], [-113.9598466, 51.1306854], [-113.959847, 51.1302043], [-113.9598471, 51.1300106], [-113.9598471, 51.1299889], [-113.9598473, 51.1296344], [-113.9598478, 51.1289989], [-113.9598478, 51.1289499], [-113.9598478, 51.1289459]]]]}","DC,M-H2,S-SPR",LO,17740.5,190964.0,4.38,,,RAWDL
